number,num_pol,cost,age,older,car,output
515192541,3,1167,68,17,1,0
419503200,1,768,41,18,0,0
39016000,3,751,78,37,0,1
574132880,1,683,60,5,0,0
523554190,1,609,67,5,0,0
222278881,1,586,54,4,1,0
300410080,1,362,80,6,0,0
529211780,1,342,67,18,0,0
2011060281,2,327,33,2,1,1
317461911,2,292,47,11,1,0
3149901691,5,236.6,25,8,1,0
500078060,1,173,72,35,0,0
259813741,4,154.25,47,11,1,0
216598260,1,139,37,16,0,0
146697411,2,108.5,63,14,1,0
632659531,8,102.875,67,29,1,0
500934261,2,101,71,22,1,0
339133510,1,92,45,18,0,1
93610800,2,86,81,21,0,0
165657640,1,72,56,13,0,0
554178930,1,50,63,20,0,1
250501701,2,18.5,49,27,1,0
3122865110,2,16,27,1,0,1
556622090,2,9,63,16,0,0
14387460,1,0,71,7,0,1
2117236891,1,0,22,0,1,0
2140768791,1,0,19,9,1,1
2145259411,2,0,18,0,1,0
215356790,2,0,36,27,0,0
2167223220,1,0,15,5,0,0
227389910,1,0,54,0,0,1
238041311,2,0,53,8,1,0
253783571,1,0,49,12,1,0
255662820,1,0,48,0,0,0
272030330,1,0,48,17,0,1
277443740,1,0,51,24,0,0
288190270,1,0,50,5,0,0
290865350,1,0,50,28,0,0
299848950,1,0,36,8,0,0
300785620,1,0,72,11,0,0
3016757811,2,0,33,8,1,0
3027617211,2,0,32,7,1,0
3096035530,1,0,5,3,0,0
3107446100,1,0,51,0,0,1
3108343530,1,0,45,1,0,0
3114872271,2,0,28,2,1,1
3132262681,2,0,26,8,1,0
3142651331,2,0,61,19,1,1
3147216140,1,0,26,0,0,0
317190240,1,0,43,0,0,0
3204372541,2,0,48,17,1,1
3205032871,2,0,57,37,1,0
3207262681,2,0,54,24,1,0
3218826491,2,0,23,3,1,0
3219892951,4,0,52,0,1,0
3220412371,2,0,49,79,1,1
3220642621,2,0,39,3,1,0
3223054751,2,0,20,2,1,0
3223800801,3,0,21,0,1,0
3224770011,3,0,21,0,1,0
3226516211,3,0,21,13,1,0
3227535421,3,0,22,1,1,1
3227728561,3,0,22,7,1,0
3227821031,6,0,20,11,1,0
3230385541,3,0,20,0,1,0
3233834711,3,0,26,11,1,0
3236817591,2,0,35,6,1,0
3238387971,2,0,20,3,1,1
3239637771,1,0,20,12,1,1
3240979061,5,0,20,12,1,0
3242586801,2,0,20,3,1,0
3246072410,1,0,63,8,0,1
3247939591,3,0,42,0,1,1
3256106401,5,0,18,7,1,0
3256186921,1,0,18,1,1,1
3261757911,3,0,17,0,1,0
3261917981,1,0,18,0,1,0
3266345321,1,0,18,0,1,0
3268971881,3,0,32,0,1,0
3273550460,2,0,87,31,0,0
3273550461,2,0,87,32,1,1
3288555311,2,0,74,31,1,0
3288917001,2,0,72,10,1,0
3322794961,2,0,40,11,1,0
332362900,1,0,45,2,0,0
3323636621,2,0,35,9,1,0
3362807481,5,0,32,12,1,0
3451912660,4,0,48,0,0,1
406167650,1,0,40,7,0,1
422435841,1,0,78,1,1,0
481961410,1,0,75,12,0,0
5015003830,1,0,72,24,0,1
506830510,1,0,70,8,0,0
5111487361,9,0,32,177,1,0
5111699140,2,0,62,23,0,0
5111699141,6,0,62,39,1,0
5112983330,1,0,22,6,0,0
5113708841,3,0,17,18,1,0
5114830261,4,0,68,26,1,0
5115008110,1,0,22,10,0,0
5115169321,10,0,62,83,1,0
5116170520,5,0,62,54,0,0
5117099250,10,0,63,352,0,0
5117099251,2,0,63,515,1,0
5117244600,1,0,62,16,0,1
5117244601,3,0,62,30,1,0
5119208030,5,0,62,119,0,0
5119208031,6,0,62,160,1,0
5119552701,4,0,62,101,1,1
5120538931,6,0,33,48,1,0
5120631731,10,0,62,152,1,0
5123037850,1,0,73,58,0,0
5123040070,1,0,62,25,0,0
5124977510,2,0,62,71,0,0
5125569290,1,0,22,81,0,0
5125569291,211,0,22,1912,1,0
5127585091,3,0,23,7,1,0
5128341850,1,0,5,11,0,1
512850130,1,0,70,26,0,0
5129189210,13,0,72,24,0,0
5129189211,2,0,72,62,1,0
5129489020,1,0,52,54,0,0
5131829800,1,0,62,21,0,1
5131829801,2,0,62,7,1,0
5132921440,6,0,58,30,0,0
5132921441,1,0,58,157,1,0
5133346491,37,0,63,349,1,0
5133494720,6,0,52,33,0,0
